row_number,market_area,company_name,generator_name,dispatch_type,generation_source,generation_form,fuel_type,capacity_mw
11830,비수도권,(주)금강에너지,금강2호태양광,비중앙,신재생에너지,태양광,태양광,0.998
11831,수도권,주식회사 케이티,케이티화성송신소태양광,비중앙,신재생에너지,태양광,태양광,2.985
11832,비수도권,(주)브이엘코리아,내린천태양광,비중앙,신재생에너지,태양광,태양광,1.417
11833,제주,제이제이 태양광발전소,제이제이태양광,비중앙,신재생에너지,태양광,태양광,0.2
11834,비수도권,도개솔라파크8,도개솔라파크8,비중앙,신재생에너지,태양광,태양광,0.1
11835,비수도권,도개솔라파크2,도개솔라파크2,비중앙,신재생에너지,태양광,태양광,0.099
11836,비수도권,부산정관에너지(발전),코원이에스햇빛발전기(군산),비중앙,신재생에너지,태양광,태양광,0.756
11837,비수도권,삼척지이에스 주식회사,삼척GES태양광,비중앙,신재생에너지,태양광,태양광,0.998
11838,제주,재원태양광발전소,재원태양광,비중앙,신재생에너지,태양광,태양광,0.098
11839,비수도권,(주)동앤민태양광발전소,은혜제1태양광,비중앙,신재생에너지,태양광,태양광,0.997
11840,비수도권,주식회사 강경솔라팜원,강경솔라팜원삼척5태양광,비중앙,신재생에너지,태양광,태양광,1.269
