date,iteration,mae,rmse,mean_model,mean_actual
2024-10-20,13,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,14,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-20,15,67182.3362701111,67670.15136083345,28905.997063222214,96088.33333333333
2024-10-25,1,81956.3197564583,85403.51511485761,38665.346910208325,120621.66666666667
2024-10-25,2,76084.01828104169,80008.10445276512,44537.648385625005,120621.66666666667
2024-10-25,3,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,4,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,5,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,6,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,7,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,8,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,9,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,10,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,11,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,12,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,13,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,14,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-10-25,15,75771.13801020644,79672.15390450084,44850.52865646023,120621.66666666667
2024-12-24,1,74183.73102981248,78065.67584286685,50572.93563685417,124756.66666666667
2024-12-24,2,64863.30890420833,69355.04179601713,59893.35776245832,124756.66666666667
2024-12-24,3,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,4,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,5,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,6,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,7,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,8,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,9,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,10,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,11,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,12,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,13,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,14,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
2024-12-24,15,63504.00177371214,67933.95013135258,61252.664892954526,124756.66666666667
